지점,일시,1시간평균 미세먼지농도(㎍/㎥)
90,41652.125,41
90,41652.16667,36
90,41652.20833,32
90,41652.25,25
90,41652.29167,25
90,41652.33333,27
90,41652.375,34
90,41652.41667,17
90,41652.45833,32
90,41652.5,33
90,41652.54167,28
90,41652.58333,29
90,41652.625,28
90,41652.66667,32
90,41652.70833,36
90,41652.75,57
90,41652.79167,31
90,41652.83333,31
90,41652.875,24
90,41652.91667,19
90,41652.95833,9
90,41653,14
90,41653.04167,7
90,41653.08333,10
90,41653.125,20
90,41653.16667,14
90,41653.20833,17
90,41653.25,33
90,41653.29167,21
90,41653.33333,14
90,41653.375,28
90,41653.41667,31
90,41653.45833,34
90,41653.5,33
90,41653.54167,18
90,41653.58333,27
90,41653.625,30
90,41653.66667,25
90,41653.70833,33
90,41653.75,31
90,41653.79167,32
90,41653.83333,17
90,41653.875,20
90,41653.91667,16
90,41653.95833,16
90,41654,15
90,41654.04167,18
90,41654.08333,59
90,41654.125,94
90,41654.16667,124
90,41654.20833,53
90,41654.25,53
90,41654.29167,45
90,41654.33333,25
90,41654.375,28
90,41654.41667,39
90,41654.45833,43
90,41654.5,31
90,41654.54167,31
90,41654.58333,17
90,41654.625,26
90,41654.66667,17
90,41654.70833,23
90,41654.75,30
90,41654.79167,32
90,41654.83333,31
90,41654.875,35
90,41654.91667,28
90,41654.95833,30
90,41655,27
90,41655.04167,27
90,41655.08333,33
90,41655.125,37
90,41655.16667,41
90,41655.20833,45
90,41655.25,47
90,41655.29167,49
90,41655.33333,64
90,41655.375,60
90,41655.41667,63
90,41655.45833,71
90,41655.5,78
90,41655.54167,88
90,41655.58333,86
90,41655.625,89
90,41655.66667,92
90,41655.70833,99
90,41655.75,100
90,41655.79167,105
90,41655.83333,96
90,41655.875,81
90,41655.91667,91
90,41655.95833,114
90,41656,113
90,41656.04167,107
90,41656.08333,115
90,41656.125,109
90,41656.16667,114
90,41656.20833,100
90,41656.25,97
90,41656.29167,92
90,41656.33333,91
90,41656.375,95
90,41656.41667,101
90,41656.45833,100
90,41656.5,88
90,41656.54167,50
90,41656.58333,40
90,41656.625,38
90,41656.66667,40
90,41656.70833,32
90,41656.75,44
90,41656.79167,57
90,41656.83333,44
90,41656.875,53
90,41656.91667,80
90,41656.95833,80
90,41657,95
90,41657.04167,103
90,41657.08333,85
90,41657.125,83
90,41657.16667,74
90,41657.20833,57
90,41657.25,48
90,41657.29167,37
90,41657.33333,28
90,41657.375,43
90,41657.41667,40
90,41657.45833,40
90,41657.5,38
90,41657.54167,38
90,41657.58333,40
90,41657.625,56
90,41657.66667,43
90,41657.70833,27
90,41657.75,28
90,41657.79167,36
90,41657.83333,27
90,41657.875,30
90,41657.91667,32
90,41657.95833,37
90,41658,36
90,41658.04167,29
90,41658.08333,38
90,41658.125,44
90,41658.16667,48
90,41658.20833,42
90,41658.25,43
90,41658.29167,35
90,41658.33333,45
90,41658.375,38
90,41658.41667,34
90,41658.45833,37
90,41658.5,43
90,41658.54167,48
90,41658.58333,38
90,41658.625,36
90,41658.66667,35
90,41658.70833,28
90,41658.75,44
90,41658.79167,32
90,41658.83333,35
90,41658.875,47
90,41658.91667,33
90,41658.95833,28
90,41659,36
90,41659.04167,47
90,41659.08333,57
90,41659.125,55
90,41659.16667,36
90,41659.20833,33
90,41659.25,32
90,41659.29167,37
90,41659.33333,37
90,41659.375,29
90,41659.41667,29
90,41659.45833,21
90,41659.5,23
90,41659.54167,28
90,41659.58333,36
90,41659.625,63
90,41659.66667,85
90,41659.70833,91
90,41659.75,111
90,41659.79167,83
90,41659.83333,46
90,41659.875,41
90,41659.91667,46
90,41659.95833,48
90,41660,52
90,41660.04167,67
90,41660.08333,69
90,41660.125,63
90,41660.16667,57
90,41660.20833,61
90,41660.25,62
90,41660.29167,72
90,41660.33333,58
90,41660.375,73
90,41660.41667,50
90,41660.45833,25
90,41660.5,31
90,41660.54167,21
90,41660.58333,31
90,41660.625,38
90,41660.66667,38
90,41660.70833,41
90,41660.75,58
90,41660.79167,42
90,41660.83333,38
90,41660.875,49
90,41660.91667,48
90,41660.95833,54
90,41661,47
90,41661.04167,42
90,41661.08333,50
90,41661.125,56
90,41661.16667,57
90,41661.20833,72
90,41661.25,66
90,41661.29167,63
90,41661.33333,60
90,41661.375,51
90,41661.41667,53
90,41661.45833,60
90,41661.5,53
90,41661.66667,24
90,41661.70833,25
90,41661.75,39
90,41661.79167,50
90,41661.83333,48
90,41661.875,49
90,41661.91667,48
90,41661.95833,42
90,41662,49
90,41662.04167,45
90,41662.08333,53
90,41662.125,47
90,41662.16667,46
90,41662.20833,45
90,41662.25,47
90,41662.29167,39
90,41662.33333,45
90,41662.375,43
90,41662.41667,42
90,41662.45833,49
90,41662.5,58
90,41662.54167,51
90,41662.58333,51
90,41662.625,54
90,41662.66667,54
90,41662.70833,46
90,41662.75,58
90,41662.79167,40
90,41662.83333,31
90,41662.875,33
90,41662.91667,37
90,41662.95833,35
90,41663,34
90,41663.04167,43
90,41663.08333,44
90,41663.125,34
90,41663.16667,44
90,41663.20833,35
90,41663.25,41
90,41663.29167,31
90,41663.33333,29
90,41663.375,23
90,41663.41667,27
90,41663.45833,31
90,41663.5,24
90,41663.54167,33
90,41663.58333,19
90,41663.625,22
90,41663.66667,22
90,41663.70833,19
90,41663.75,21
90,41663.79167,20
90,41663.83333,14
90,41663.875,20
90,41663.91667,21
90,41663.95833,24
90,41664,24
90,41664.04167,21
90,41664.08333,26
90,41664.125,30
90,41664.16667,28
90,41664.20833,26
90,41664.25,28
90,41664.29167,29
90,41664.33333,39
90,41664.375,35
90,41664.41667,42
90,41664.45833,58
90,41664.5,64
90,41664.54167,62
90,41664.58333,40
90,41664.625,29
90,41664.66667,26
90,41664.70833,24
90,41664.75,20
90,41664.79167,16
90,41664.83333,18
90,41664.875,24
90,41664.91667,26
90,41664.95833,27
90,41665,35
90,41665.04167,34
90,41665.08333,35
90,41665.125,38
90,41665.16667,35
90,41665.20833,28
90,41665.25,27
90,41665.29167,29
90,41665.33333,23
90,41665.375,36
90,41665.41667,27
